NAME,FOLDERPATH,SYMBOLID,ALTMODE,BASE,CLAMPED,EXTRUDED,SNIPPET,POPUPINFO,SHAPE_LENG,SHAPE_LEN,AVG_SLOPE
진입로1,도심고궁 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00498677,0.00498676984551,정보 없음
진입로4,임시 장소/독산삼성산나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00200421,0.00200421216206,정보 없음
진입로5,임시 장소/독산삼성산나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00695775,0.00695775044526,정보 없음
진입로6,임시 장소/독산삼성산나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00080236,0.000802356563633,정보 없음
진입로7,임시 장소/독산삼성산나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00058787,0.00058786924072,정보 없음
진입로8,임시 장소/독산삼성산나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00065639,0.00065638931207,정보 없음
문화자원연계부,임시 장소/독산삼성산나들길.kmz,2,0,0.0,-1,0,,,0.00243412,0.0024341221861,정보 없음
동작충효길진입로2,동작충효길1코스-고구동산길.kmz,1,0,0.0,-1,0,,,0.00143922,0.00143922145629,정보 없음
동작충효길진입로3,동작충효길1코스-고구동산길.kmz,1,0,0.0,-1,0,,,0.00042725,0.0004272469056,정보 없음
동작충효길진입로4,동작충효길1코스-고구동산길.kmz,1,0,0.0,-1,0,,,0.00069355,0.000693553601397,정보 없음
진입로3,임시 장소/독산삼성산나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00602032,0.00602031638536,정보 없음
독립공원안산 나들길,독립공원안산 나들길.kmz/임시 장소,0,0,0.0,-1,0,,"옛 서울의 서쪽 관문인 독립문사거리 옆, 독립공원엔 일제강점기 아픈 역사의 흔적을 고스란히 재현해 놓은 서대문 형무소가 있고, 그 뒤로는 안산의 한적한 숲길과 산책로가 조성된 코스이다.",0.04195583,0.0419558276512,정보 없음
동작충효길진입로5,동작충효길1코스-고구동산길.kmz,1,0,0.0,-1,0,,,0.00043677,0.000436765638068,정보 없음
문호자원연계부,임시 장소/독산삼성산나들길.kmz,2,0,0.0,-1,0,,,0.00250141,0.00250140742882,정보 없음
동작충효길1코스-고구동산길,동작충효길1코스-고구동산길.kmz,0,0,0.0,-1,0,,노들역4번출입구-노량진근린공원입구-고구동산길-고구동산조망명소-서달산자연생태탐방로-달마산입구,0.02882922,0.0288292227642,정보 없음
동작충효길진입로6,동작충효길1코스-고구동산길.kmz,1,0,0.0,-1,0,,,0.00220727,0.00220727315085,정보 없음
동작충효길진입로7,동작충효길1코스-고구동산길.kmz,1,0,0.0,-1,0,,,0.00173144,0.00173143873681,정보 없음
동작충효길2코스-현충원길,동작충효길2코스-현충원길.kmz,0,0,0.0,-1,0,,국립현충원입구-사당출입문-서달산산책로-서달산계단입구,0.02547553,0.0254755297854,정보 없음
현충원길진입로1,동작충효길2코스-현충원길.kmz,1,0,0.0,-1,0,,,0.00728862,0.00728862036221,정보 없음
현충원길진입로2,동작충효길2코스-현충원길.kmz,1,0,0.0,-1,0,,,0.00404338,0.00404338093822,정보 없음
현충원길진입로3,동작충효길2코스-현충원길.kmz,1,0,0.0,-1,0,,,0.0057077,0.00570770141422,정보 없음
동작충효길3코스-한강나들길,동작충효길3코스-한강나들길.kmz,0,0,0.0,-1,0,,사육신공원입구-노량진배수지 시민공원-노들역2번출입구-효사정-동작역2번출입구,0.0440747,0.0440747022915,정보 없음
노량진길진입로2,동작충효길4코스-노량진길.kmz,1,0,0.0,-1,0,,,0.00263932,0.0026393212924,정보 없음
노량진길진입로3,동작충효길4코스-노량진길.kmz,1,0,0.0,-1,0,,,0.00180108,0.00180107753637,정보 없음
동작충효길4코스-노량진길,동작충효길4코스-노량진길.kmz,0,0,0.0,-1,0,,노량진수상시장-경부시설녹지-대방e편한세상아파트-노량진근린공원-생태통로-무장애등산로-마을안길-상도3치안센터,0.0391243,0.0391243026402,정보 없음
노량진길진입로4,동작충효길4코스-노량진길.kmz,1,0,0.0,-1,0,,,0.00248178,0.00248178295109,정보 없음
동작마루길진입로2,동작충효길6코스-동작마루길.kmz,1,0,0.0,-1,0,,,0.00196696,0.00196696182013,정보 없음
