TRL_ID,TRL_NM,TRL_CD,CTPRV_CD,SGNG_CD,EMNDN_CD,LGDNG_LI_CD,MLTNO_YN,LTNO_ORN,LTNO_VCN,PNTM_XCRD,PNTM_YCRD,TRMNA_XCRD,TRMNA_YCRD,Pet_AP,km,minute
C054,동작충효길(5코스_보라매길),2,11,590,108,0,1,406,10,126.9282966,37.49974082,126.9205272,37.49984397,1,2.7,40
C055,동작충효길(6코스_동작마루길),2,11,590,108,0,1,406,10,126.9285757,37.49972943,126.9608759,37.49484438,1,4.8,80
C056,동작충효길(4코스_노량진길),2,11,590,101,0,1,67,2,126.9430382,37.51404255,126.9306073,37.49989537,1,3.2,50
C057,동작충효길(7코스_까치산길),2,11,590,102,0,2,49,122,126.9620589,37.49426502,126.9812591,37.47642874,1,3.6,60
C058,현충원 나들길,2,11,590,106,0,1,326,0,126.9766622,37.50326531,126.9654645,37.49332062,0,5,120
C059,동작충효길(2코스_현충원길),2,11,590,106,0,1,126,3,126.9812927,37.50152429,126.9627346,37.49433515,1,2.6,40
C060,여의도공원 산책길,2,11,560,110,0,1,8,13,126.9289458,37.52923324,126.9164974,37.52140285,1,2.5,40
C061,백련산 나들길(초록숲길),2,11,410,118,0,1,217,16,126.9402969,37.59106888,126.9281303,37.58848456,1,3,60
C062,중랑캠핑숲나들길,2,11,260,105,0,1,241,28,127.108214,37.60628885,127.1133699,37.60455422,1,3.5,60
C063,동작충효길(1코스_고구동산길),2,11,590,104,0,1,475,1,126.9532415,37.51289855,126.9595063,37.49855208,1,3.2,50
C064,동작충효길(3코스_한강나들길),2,11,590,101,0,1,152,3,126.9473995,37.51350438,126.9525081,37.51307095,1,4.7,80
C065,몽촌토성 나들길,2,11,710,111,0,1,88,0,127.1228667,37.51489364,127.1265129,37.5228749,1,2.4,40
C066,석촌호수 산책길,2,11,710,101,0,1,47,0,127.1012839,37.51016162,127.1028479,37.50963029,1,2.5,40
C067,송파소리길,2,11,710,101,0,1,39,0,127.0997559,37.51272583,127.1371893,37.50134912,1,4.5,90
C068,중랑천제방장미 벚꽃길,2,11,350,103,0,1,680,3,127.0752375,37.61778011,127.0883408,37.58056798,1,5,90
